title,artist,image_url,image_path,inventory,date,type,technique,dimensions,subject,school,room,description
The Holy Family,Carlo Francesco Nuvolone (1609-1661),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Carlo-Francesco-Nuvolone-Sacra-Famiglia-728x1024.jpg,ambrosiana_images/The_Holy_Family.jpg,,c. 1640 - 1650,Painting,,134 × 97 cm,Sacred art,,16,"Formerly attributed to the more famous Carlo Francesco Nuvolone, this painting is now acknowledged as the work of his brother Giuseppe. It was donated to the church of San Sepolcro by Cardinal Alfonso Litta, Archbishop of Milan from 1652 to 1679, before entering the Pinacoteca Ambrosiana. The Madonna, with the Child in her lap, stands out in the foreground, partly through the use of brilliant colours, while the ageing Saint Joseph, in softer tones, pensively contemplates the scene from behind."
Allegory of Water,Jan Brueghel il Vecchio “Dei Velluti” (1568-1625),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Jan-Brueghel-il-Vecchio-Dei-Velluti-Allegoria-dell-acqua-1024x694.jpg,ambrosiana_images/Allegory_of_Water.jpg,,1614,Painting,,46 × 66 cm,Allegory,,7,"Between 1608 and 1621, Brueghel was commissioned by Federico Borromeo to make four paintings on copper. The history of these Allegories of the Four Elements can be fully retraced in an abundant set of documents now in the Biblioteca Ambrosiana. Earth, water, air and fire are the four elements that, from the time of Empedocles’ writings, were long considered to be at the base of all created matter. In Borromeo’s philosophical-theological view, these paintings went well beyond their secular significance and acquired a profound religious value, since Nature was the book written by God, so that man could rise up from Creation to its Creator. Unfortunately, only two of the four works – the Allegory of Fire and the Allegory of Water – are now in the Ambrosiana, because much of the Pinacoteca’s assets were taken to France after being plundered under Napoleon. The Allegory of Earth and the Allegory of Air are now in the Louvre, from which they have never been returned, in spite of the 1815 agreements.
The painting is remarkable for the richness of its natural landscape, it was sent by Brueghel to Cardinal Federico in 1614 and was the third in the series."
The Magdalen and the Angel,Giulio Cesare Procaccini (1574-1625),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giulio-Cesare-Procaccini-La-Maddalena-665x1024.jpg,ambrosiana_images/The_Magdalen_and_the_Angel.jpg,,c. 1618 - 1620,Painting,,69.5 × 47 cm,Sacred art,,16,"Here Mary Magdalene is shown as “penitent”, with her hand resting on a skull and her eyes raised to the sky, as though enraptured in contemplation. In the middle ground, an angel comes to her, looking at her and pointing with his left forefinger towards the reality of heaven."
Portrait of Manfredo Settala,Daniele Crespi (1600-1630) attribuito a,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Daniele-Crespi-Ritratto-di-Manfredo-Settala-723x1024.jpg,ambrosiana_images/Portrait_of_Manfredo_Settala.jpg,,c. 1620,Painting,,44 × 33 cm,Portrait,,16,"This painting shows Canon Manfredo Settala, the famous Milanese collector whose encyclopaedic museum entered the Ambrosiana through a bequest in 1751. Settala, the son of the famous head physician of Manzonian fame, is shown here at a young age. He is holding a curious ivory object which has been turned on a lathe. It was quite probably he himself who made it, for not only did he collect naturalistic items of all kinds for his museum, but he also expanded his collection with various curios and scientific instruments that he himself designed and made."
Jael and Sisera,Giuseppe Vermiglio (1585-1635),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giuseppe-Vermiglio-Giaele-e-Sisara-806x1024.jpg,ambrosiana_images/Jael_and_Sisera.jpg,,c. 1621,Painting,,130 × 103 cm,Grand genre,,15,"This work shows us the “mannish Jael” (maschia Giaele) as Manzoni referred to her, just as she breaks Sisera’s skull with the tent nail, as we read in the Book of Judges. We know nothing of the provenance of this painting, nor are there any documents that tell us when it came to the Ambrosiana. The work has been attributed to Giuseppe Vermiglio; it contains some Caravaggesque elements and appears to have been inspired by the same subject painted by Artemisia Gentileschi and now in Budapest."
Judith and Holofernes,Giuseppe Vermiglio (1585-1635),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giuseppe-Vermiglio-Giuditta-e-Oloferne-761x1024.jpg,ambrosiana_images/Judith_and_Holofernes.jpg,,c. 1625,Painting,,136 × 103 cm,Grand genre,,14,"Also in the case of this work by Giuseppe Vermiglio, we have no information about its provenance or about its arrival at the Pinacoteca. The painting shows Judith, who has just cut off the head of the Assyrian general Holofernes and is just about to put it into the sack held by her maid, as we are told in the Book of Judith. The painting, which was probably made in the 1620s, is very elegant, especially in the figure of the Israelite heroine. It is clearly derived from the style of Caravaggio, with the influence of Artemisia Gentileschi."
Allegorical Female Figure,Giovanni Serodine (1600-1631),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giovanni-Serodine-Figura-femminile-allegorica-1024x725.jpg,ambrosiana_images/Allegorical_Female_Figure.jpg,,c. 1626,Painting,,89 × 124 cm,Allegory,,16,"This painting is open to various interpretations, partly due to the symbolism of the many objects that fill the scene and that surround this enigmatic female figure who is shown pressing against her breast. It has been suggested, for example, that this is an allegory of Melancholy, or of Science. However, it is probably Philosophy nourishing and feeding the various liberal arts: the armillary sphere alludes to astronomy, the lute to music, the pair of compasses and the plumb-rule to geometry, mathematics and architecture, and the open books refer to the sciences in general. Lastly, we can see how the woman is holding the rod of authority and indeed Philosophy not only nourishes the arts (the pressed breast), but is also their apex and queen (the sceptre)."
Winter Landscape with Skaters,Hendrick Avercamp (1585-1634),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Hendrick-Avercamp-Paesaggio-invernale-1024x648.jpg,ambrosiana_images/Winter_Landscape_with_Skaters.jpg,,c. 1634,Painting,,48 × 74.5 cm,Landscape,,13,"Hendrick Avercamp is famous for having introduced winter landscapes to Dutch painting. His follower in this genre of painting was his nephew Barent, who skilfully imitated his style, and indeed in the case of some works, like this one, it is hard to say which of the two was the artist. The scene contains a whole variety of figures, some of which are made with great naturalism, as we can see in the skater with his hands behind his back, or in the man playing with a spinning top."
Still Life with Fruit,Isaac Soreau (1604-1638),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Isaac-Soreau-Natura-Morta-con-Frutti-1024x772.jpg,ambrosiana_images/Still_Life_with_Fruit.jpg,,c. 1638,Painting,,38 × 46 cm,Still life,,13,"Even though slightly different in size, the two works appear to have been planned together, and together they reached the Ambrosiana in 1893. The horizontal arrangement of the objects is almost identical: two pewter trays with beautiful fruit are accompanied by fruit, flowers and insects on the table top, which is painted with such precision as to render even the veining of the wood. The simple composition, together with the meticulous execution, help create a sense of abstraction and silence. The römer glass is a typically Flemish detail, which often appears in still lifes from the region."
Still Life with Fruit,Isaac Soreau (1604-1638),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Isaac-Soreau-Natura-morta-1024x742.jpg,ambrosiana_images/Still_Life_with_Fruit.jpg,,c. 1638,Painting,,40 × 50.5 cm,Still life,,13,"Even though slightly different in size, the two works appear to have been planned together, and together they reached the Ambrosiana in 1893. The horizontal arrangement of the objects is almost identical: two pewter trays with beautiful fruit are accompanied by fruit, flowers and insects on the table top, which is painted with such precision as to render even the veining of the wood. The simple composition, together with the meticulous execution, help create a sense of abstraction and silence. The römer glass is a typically Flemish detail, which often appears in still lifes from the region."
Mary Magdalene Penitent,Guido Reni (1575-1642),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Guido-Reni-La-Maddalena-penitente-688x1024.jpg,ambrosiana_images/Mary_Magdalene_Penitent.jpg,,c. 1640,Painting,,200 × 133 cm,Sacred art,,13,"This canvas is one of Guido Reni’s mature works, from the time when he was making religious paintings with a greater focus on inner spiritual life. The Bologna-born artist made many paintings of Mary Magdalene, but this one differs from the others in its more monumental composition and in the unusual pose of the penitent saint, who appears among the rocks with a skull in her hand, enthralled as she looks at an angel pointing to the sky. Even though of great impact, the work is unfinished."
Adam and Eve in the Garden of Eden,Jan II Brueghel il Giovane (1601-1678),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Jan-II-Brueghel-il-Giovane-Cacciata-dal-Paradiso-terrestre-1024x594.jpg,ambrosiana_images/Adam_and_Eve_in_the_Garden_of_Eden.jpg,,c. 1640,Painting,,49 × 83 cm,Sacred art,,21,"Probably dating from about 1640, these two panels were painted by Jan Brueghel the Younger, the son of Jan Brueghel the Elder. The fact that they are exactly the same size suggests that they were part of a single work, together with other paintings, all based on the first chapters of the Book of Genesis."
The Wedding of Peleus and Thetis,Ambito di Francesco Albani (1578-1660),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Ambito-di-Francesco-Albani-Trionfo-di-Galatea-2-1024x696.jpg,ambrosiana_images/The_Wedding_of_Peleus_and_Thetis.jpg,,c. 1650,Painting,,95 × 140 cm,Grand genre,,14,"This painting has been interpreted in a number of ways, but scholars currently agree that it shows the wedding of Peleus, of Greek mythology, and the sea-nymph Thetis: from their marriage came the celebrated Greek hero Achilles. The scene shows the moment when the nymph is led, by a putto holding the nuptial flame, to Peleus. He greets her and takes her to the bridal bed, shown on the right, where other winged putti pull back the curtains. At the bottom left, there is another mythological figure, probably a nymph, blindfolded."
Mercury and Argus,Anonimo genovese (XVII secolo),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Anonimo-genovese-Mercurio-e-Argo-752x1024.jpg,ambrosiana_images/Mercury_and_Argus.jpg,,c. 1650 - 1660,Painting,,96 × 71 cm,Mythological scene,,13,"The painting illustrates an episode from Ovid’s Metamorphoses: Mercury prepares to send Argus to sleep, with the alluring melodies of his flute, and then to kill him at Jove’s command. Argus, the shepherd with a hundred eyes and immense strength, was entrusted by Juno to keep watch over the young Io, who was loved by Jove and transformed by him into a heifer. The painting entered the Ambrosiana collection as a work by the Neapolitan artist Salvator Rosa, but is now attributed to a late-seventeenth-century Genoese painter."
Susanna at her Bath,Carlo Francesco Nuvolone (1609-1661),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Carlo-Francesco-Nuvolone-Susanna-al-bagno-1024x854.jpg,ambrosiana_images/Susanna_at_her_Bath.jpg,,c. 1659,Painting,,155 × 178 cm,Sacred art,,16,"In Chapter 13 of the book of the prophet Daniel, we find the story of Susanna, the lovely, honest woman who, as she takes her bath, is spied upon by two elders who lust after her. The object of wicked blackmail, unjustly accused and condemned to death, Susanna is miraculously freed by the prophet Daniel. The painting shows the moment when Susanna is surprised by the two wicked judges: the younger one, in the background, motions to the woman to keep quiet, while the older one shows her a medallion, as though trying to bribe her."
Still Life with Musical Instruments,Evaristo Baschenis (1617-1677),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Evaristo-Baschenis-Natura-morta-con-strumenti-musicali-1024x659.jpg,ambrosiana_images/Still_Life_with_Musical_Instruments.jpg,,c. 1660 - 1670,Painting,,82 × 127 cm,Still life,,Atrio di passaggio 2 piano,"In this painting, a sumptuously elegant drape is lifted to reveal a still life with musical instruments, with many symbolic meanings: on a table covered with a red cloth, the pattern of which is beautifully rendered, there is a spinet, on which an archlute and a musical score have been placed. In the middle ground, we see a violin with its bow and an apple, which creates a particular note of colour, and a mandora can be seen on the right. Scholars have pointed out how the instruments used are those required to perform a sonata for soloist and thorough-bass. It is also worth noting Baschenis’s technical skill in rendering the thin layer of dust on the mandora on the right. Dust shows that the instruments have not been used, suggesting the absence of music. The work thus acquires the significance of a vanitas, a reminder of the transience of life, and the silent instruments allude to the fleeting experience of our senses."
The Presentation of Christ in the Temple,Pietro Antonio Magatti (1691-1767),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Pietro-Antonio-Magatti-Presentazione-di-Gesu-al-Tempio-881x1024.jpg,ambrosiana_images/The_Presentation_of_Christ_in_the_Temple.jpg,,c. 1725 - 1730,Painting,,72 × 93 cm,Sacred art,,17,"This painting, with its very balanced composition and extremely delicate tones, shows the presentation of Jesus in the Temple, just as Simeon takes the Child into his arms. Its formal characteristics show that it must have been painted in the 1720s. Scholars are undecided on whether this is a preparatory study or a work that is small in size to make it suitable for private devotion."
Portrait of a Young Man,Vittore Ghislandi detto Frà Galgario (1655-1743),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Vittore-Ghislandi-detto-Fra-Galgario-Ritratto-di-giovane-784x1024.jpg,ambrosiana_images/Portrait_of_a_Young_Man.jpg,,c. 1730 - 1743,Painting,,49 × 39 cm,Portrait,,17,"Of unknown provenance, the painting shows us the portrait of a young man whose body is shown in profile, while the face is shown in three-quarters view. His wavy hair and not particularly immaculate clothes give this work a very natural, informal look. Art historians date it to the last decade of the artist’s work, due to “the blurred, rather ill-defined brushstroke… and the simplicity and immediacy with which the sitter is rendered”."
Moses and the Brazen Serpent,Cesare Ligari (1716-1770),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Cesare-Ligari-Mose-e-il-serpente-di-bronzo-1024x793.jpg,ambrosiana_images/Moses_and_the_Brazen_Serpent.jpg,,1740,Painting,,126 × 163 cm,Sacred art,,17,"On the back of the canvas we read that “Cesare Ligari son of Pietro painted this, in Venice, 1740”. The work was donated to the Ambrosiana by a descendant of theirs, Angelo Ligari. The painting shows the episode described in the Book of Numbers (Nm 21: 4-9): God sent poisonous serpents to punish the Israelites for their lamentations and, when Moses begged him to put an end to the massacre, the Lord ordered that a copper serpent should be raised up on a stake: all those who were bitten by a serpent would be saved if they looked at the effigy."
Kids and Lambs,Francesco Londonio (1723-1783),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Francesco-Londonio-Caprette-e-agnelli-1-1024x756.jpg,ambrosiana_images/Kids_and_Lambs.jpg,,c. 1750 - 1770,Painting,,30 × 40 cm,Petit genre,,17,"Born in the parish of Sant’Alessandro in Milan, Francesco Londonio specialised in genre painting and was also appointed by Maria Theresa of Austria as draughtsman and stage designer for the La Scala opera house. These paintings, studies and finished works are just eight of the thirty-five in the Ambrosiana collection. The subjects are all rustic in nature, probably in part because they were commissioned by landowners, and include studies of kids and lambs, cows’ heads and still lifes with vegetables, creating tranquil and possibly rather idealised scenes of the everyday life of peasants and shepherds. The subjects and techniques place this painter in the transitional period between Arcadia and the Enlightenment."
The Presentation of Christ in the Temple,Giandomenico Tiepolo (1727-1804),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giandomenico-Tiepolo-Presentazione-di-Gesu-al-Tempio-1024x781.jpg,ambrosiana_images/The_Presentation_of_Christ_in_the_Temple.jpg,,c. 1754,Painting,,39 × 52 cm,Sacred art,,17,"This Presentation of Christ in the Temple is based on the same subject painted by Veronese on the organ wings in the church of San Sebastiano in Venice. The scene contains some anachronisms, such as Saint Simeon who, with the exception of his headgear, is wearing the insignia of a Catholic bishop. Note that the cope and crosier are almost identical to those of the bishop we see in inv. 141. Scholars suggest that this can be dated to around 1754."
Portrait of Peter Leopold of Habsburg-Lorraine (later Leopold II),Anton Raphael Mengs (1728-1779),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Ritratto-di-Leopoldo-II-d-Asburgo-Lorena-Anton-Raphael-Mengs-831x1024.jpg,ambrosiana_images/Portrait_of_Peter_Leopold_of_Habsburg-Lorraine_(later_Leopold_II).jpg,,1770,Painting,,101 × 82 cm,Portrait,,18,"This painting is by Anton Raphael Mengs, a German painter who worked in the leading capitals of Europe and who is considered as one of the greatest exponents of neoclassicism. It portrays Peter Leopold, called “the wise”, the son of Empress Maria Theresa of Austria and brother of Emperor Joseph II, when he was grand duke of Tuscany, before he himself became emperor as Leopold II. A leading sovereign of the eighteenth-century Enlightenment, he is shown here in a dignified but not haughty pose. On his chest we see a sash of white and red, the heraldic colours of the Habsburgs."
Portrait of Napoleon King of Italy,Andrea Appiani (1754-1817),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Andrea-Appiani-Ritratto-Napoleone-Re-Italia-776x1024.jpg,ambrosiana_images/Portrait_of_Napoleon_King_of_Italy.jpg,,c. 1806 - 1808,Painting,,59 × 45 cm,Portrait,,19,"On 26 May 1805, Napoleon was crowned King of Italy in the Duomo in Milan and, as such, he was portrayed by Andrea Appiani. The three-quarter-length portrait, which can now be seen in the Kunsthistorisches Museum in Vienna, was the model for the Ambrosiana work, which experts suggest was made between 1806 and 1808. Despite the solemnity and official air created by the sumptuous insignia of the Kingdom of Italy, the naturalism and immediacy of the face are particularly remarkable."
Self Portrait,Bertel Thorvaldsen (1770-1844),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Bertel-Thorvaldsen-Autoritratto-446x1024.jpg,ambrosiana_images/Self_Portrait.jpg,,c. 1810,Sculpture,,62 cm,Self Portrait,,18,"The Danish artist Bertel Thorvaldsen is considered to be one of the greatest Euro pean neoclassical sculptors. In this self portrait, he has shaped his face in the heroic style, and this is emphasised by its larger-than-life, semi-colossal dimensions. The inspiration from classical sculpture can also be seen in the elegantly wavy hair, which gives the portrait a sense of the ideal."
Portico in Ruins,Giovanni Migliara (1785-1837),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giovanni-Migliara-Portico-in-rovina-1024x908.jpg,ambrosiana_images/Portico_in_Ruins.jpg,,c. 1810,Painting,,16.5 × 13 cm,Veduta,,Atrio di passaggio 1 piano,"This miniature in oil by Giovanni Migliara takes up the popular nineteenth-century representation of architecture in ruins (in this case, a portico, with a blazon and a sacred image)."
Self Portrait,Antonio Canova (1757-1822),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Antonio-Canova-Autoritratto-482x1024.jpg,ambrosiana_images/Self_Portrait.jpg,,c. 1812,Sculpture,,57 cm,Self Portrait,,18,"Traditionally considered to be by the hand of the great neoclassical sculptor Antonio Canova himself, it has however recently been attributed to Giovanni Battista Monti, one of his talented assistants. The statue, of semi-colossal proportions, takes inspiration from the idealised, heroic models of classical antiquity."
Napoleon Bonaparte’s gloves,NA,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Guanti-di-Napoleone-Bonaparte-834x1024.jpg,ambrosiana_images/Napoleon_Bonaparte’s_gloves.jpg,,c. 1815,Object,,,,,8,"This pair of gloves, which have faded over time, belonged to Napoleon, and came to the Ambrosiana with the following handwritten note: “I, the undersigned, declare that the gloves in yellow dante [buckskin], attached hereto, and fastened by a cord, were given by my husband, Baron Giuseppe Cavalletti, equerry to Prince Eugenio, Viceroy of Italy, upon his return to his homeland after the Battle of Waterloo. He told me that he kept them in memory of Napoleon I, at whose side he fought in said battle, as he had in many others, during which he was given them, and had kept them ever since. Marta Cavalletti, 23 June 1860”. The Battle of Waterloo took place on 18 June 1815 and marked the definitive defeat of Napoleon, who was later exiled to the island of St Helena, where he died on 5 March 1821."
Apse of San Satiro and View of the Duomo,Giovanni Migliara (1785-1837),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giovanni-Migliara-Abside-di-San-Satiro-e-veduta-del-Duomo-782x1024.jpg,ambrosiana_images/Apse_of_San_Satiro_and_View_of_the_Duomo.jpg,,c. 1820,Painting,,14 × 11 cm,Veduta,,Atrio di passaggio 1 piano,"This miniature in oil by Giovanni Migliara shows the present-day Via Falcone in a flamboyant manner, full of people, with the apse of the church of San Satiro and, in the background, the spires of the Duomo."
Portrait of a Young Girl with a Dove,Natale Schiavoni (1777-1858),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Natale-Schiavoni-Ritratto-di-giovane-con-colomba-822x1024.jpg,ambrosiana_images/Portrait_of_a_Young_Girl_with_a_Dove.jpg,,c. 1821 - 1840,Painting,,71 × 58 cm,Portrait,,18,"This painting of an alluring young girl holding a dove to her chest is the work of the Venetian painter and portraitist Natale Schiavoni, who also worked in Milan during the Napoleonic period. In the deed of donation to the Pinacoteca Ambrosiana, the portrait is indicated as a “Symbol of Innocence”: it is thus an allegorical picture, as indeed the idealised look of the girl would suggest."
The Arco della Pace in Milan,Giovanni Migliara (1785-1837),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giovanni-Migliara-Arco-della-Pace-a-Milano-1024x773.jpg,ambrosiana_images/The_Arco_della_Pace_in_Milan.jpg,,c. 1835 - 1838,Painting,,47.9 × 63.5 cm,Veduta,,19,"Even though the painting bears a signature and date (Giò Migliara 1814), scholars are not unanimous in attributing the work to Giovanni Migliara. The construction of the Arco della Pace, or Arch of Peace, was begun in 1807 to celebrate Napoleon, but work stopped after his defeat at Waterloo in 1815. Building resumed in 1826 under the orders of Emperor Francis I of Austria, who wanted it to be dedicated to the peace that was established after 1815. It was eventually unveiled by his successor, Ferdinand I, in 1838. In the painting we see the arena, on the left, and the spires of the Duomo, on the right."
View of the Interior of the Duomo,Giovanni Migliara (1785-1837),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giovanni-Migliara-Scorcio-all-Interno-del-Duomo-740x1024.jpg,ambrosiana_images/View_of_the_Interior_of_the_Duomo.jpg,,c. 1835,Painting,,14.5 × 10.8 cm,Veduta,,Atrio di passaggio 1 piano,"This miniatura in oil by Giovanni Migliara takes us directly inside the Duomo, showing the interior from the apsidal ambulatory."
Dantesque window,Giuseppe Bertini (1825-1898),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giuseppe-Bertini-Vetrata-dantesca-768x1024.jpg,ambrosiana_images/Dantesque_window.jpg,,1851,Stained glass window,,700 × 290 cm,Arts and crafts,,21,"Made for the Great Exhibition of 1851 in London, this window was again shown in London to celebrate the sixth centenary of the birth of Dante in 1865. It was purchased for the Ambrosiana by public subscription in 1867. The poet is seated on a Gothic throne, flanked by the enigmatic Matilda and by Beatrice.
Above, three episodes from Hell are represented: on the right Dante, meets the three beasts that hinder his path out of the dark forest (canto I); in the center one can see the poet in a faint, overwhelmed by pity for the fate of Paolo and Francesca (canto V); finally, on the left the demon Flegiàs ferries Dante and Virgil on the Stygian swamp towards the fiery walls of the city of Dite (canto VIII).
On the sides of the scene taken from canto V, St. Dominic and St. Francis, founders of the mendicant orders, act almost as a mediation to the upper register, where the Virgin enthroned, dressed in white and venerated by angels, is depicted.
The author of this work, Giuseppe Bertini, created numerous stained glass windows for the Milan Cathedral."
Portrait of Emilia Morosini Zeltner,Francesco Hayez (1791-1882),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Francesco-Hayez-Ritratto-di-Emilia-Morosini-Zeltner-823x1024.jpg,ambrosiana_images/Portrait_of_Emilia_Morosini_Zeltner.jpg,,1852,Painting,,98 × 79 cm,Portrait,,19,"This painting was commissioned by Morosini Zeltner herself and sent to the annual exhibition of the Accademia di Belle Arti di Brera in 1852. This noblewoman of Venetian origin was one of the protagonists of the Risorgimento in Milan, and it was indeed due to the uprising that she is shown in mourning: her son, Emilio Morosini, was one of the first to climb onto the barricades during the Five Days of Milan in 1848, and he joined the Lombard Bersaglieri in Piedmont, but in 1849 he died, aged just eighteen, from wounds received in battle. This was the first portrait of members of the Morosini and Negroni Prati families painted by Francesco Hayez."
Portrait of Giuseppina Negroni Prati Morosini,Francesco Hayez (1791-1882),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Francesco-Hayez-Ritratto-di-Giuseppina-Negroni-Prati-Morosini-802x1024.jpg,ambrosiana_images/Portrait_of_Giuseppina_Negroni_Prati_Morosini.jpg,,1853,Painting,,122 × 96 cm,Portrait,,19,"This portrait of Giuseppina Negroni Prati Morosini was commissioned by her husband, Count Alessandro, and shown at the annual exhibition of the Accademia di Belli Arti di Brera in 1853. Even so, despite the superb quality (see, for example, the luminous rendering of the face and the elegance of the ringed hand holding the half-open book), the two paintings were not particularly well received by critics. Giuseppina Morosini inherited her patriotism and passion for the Risorgimento from her mother, and shared it with her brother Emilio. She worked hard to help the fighters during the Five Days of Milan and, from 1849, her house became an authentic anti-Habsburg salon, with guests including Giuseppe Verdi, Andrea Verga, the founder of the Milanese school of psychiatry, as well as Francesco Hayez, whose memoirs she collected, and which were later published in 1890. This noblewoman was one of the cofounders of the political La Perseveranza newspaper in Milan in 1860."
Portrait of Alessandro Negroni Prati Morosini,Francesco Hayez (1791-1882),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Francesco-Hayez-Ritratto-di-Alessandro-Negroni-Prati-795x1024.jpg,ambrosiana_images/Portrait_of_Alessandro_Negroni_Prati_Morosini.jpg,,1853,Painting,,120 × 94 cm,Portrait,,19,"Shown at the annual exhibition of the Accademia di Belli Arti di Brera in 1853, this painting is a portrait of Count Alessandro Negroni Prati Morosini, the son-in-law of Giovanni Battista and Emilia Morosini. The portrait is notable for its realism and unadorned austerity."
Portrait of Giovanni Battista Morosini,Francesco Hayez (1791-1882),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Francesco-Hayez-Ritratto-di-Giovanni-Battista-Morosini-803x1024.jpg,ambrosiana_images/Portrait_of_Giovanni_Battista_Morosini.jpg,,1854,Painting,,103 × 81 cm,Portrait,,19,"This portrait, which is signed and dated 1854, was commissioned by Morosini’s daughter (see inv. 1095) and shown at the Brera exhibition in 1859. The painter himself considered this as one of his most successful portraits, “both in likeness and workmanship”, and the elderly man, dressed in informal chamber attire, is indeed portrayed with great realism. Less sympathetic to the Risorgimento cause than his wife, Morosini handed over to the Austrian police the papers that the Polish patriot Tadeusz Kos´ciuszko (whose heart was kept as a relic by Zeltner) had left to Morosini Zeltner, in exchange for the promise of the title of Count, which was however never granted by the Austrian authorities."
Locked out of school,Emilio Longoni (1859-1932),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Emilio-Longoni-Chiusi-fuori-scuola-594x1024.jpg,ambrosiana_images/Locked_out_of_school.jpg,,c. 1887 - 1888,Painting,,140 × 84 cm,Portrait,,19,"In this painting we see two little girls, shown life-size, who have been locked out of school: they are Maria and Centa Rossi, the daughters of the painter’s washerwoman. The work was shown at the Accademia di Brera in 1888, and it marks the painter’s turning point towards a more markedly social interest in his portrayal of real people. The psychological insight is quite remarkable in this painting: for the younger child, being locked out of school means being able to skip boring lessons, and is thus a reason to be pleased. However, in her elder sister, who is now approaching the first responsibilities in her life, we can see all the anxiety she feels when thinking of the consequences her lateness will have."
Washerwomen at the Canal,Emilio Gola (1851-1923),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Emilio-Gola-Le-lavandaie-sul-Naviglio-1024x736.jpg,ambrosiana_images/Washerwomen_at_the_Canal.jpg,,1893,Painting,,180 × 200 cm,Petit genre,,19,"This painting, which is dated 1893, gives us a view of the Naviglio, a very popular genre subject in those years. A number of figures are shown on the two banks of the canal by the gates of Milan. The water is seen at dawn (if, as seems likely, the setting is the Naviglio Grande) and it cuts across the composition diagonally, making it the ideal subject for the luministic and chromatic analysis that interested the painter. In terms of perspective, notice how the road markers on the left lead away to infinity, with the Duomo of Milan in the background."
Maternity,Mosè Bianchi (1840-1904),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Mose-Bianchi-Maternita-652x1024.jpg,ambrosiana_images/Maternity.jpg,,1899,Painting,,72.5 × 47.5 cm,Petit genre,,19,"The painting, which is signed and dated (1899), dates from the maturity of the Monza-born master. A young woman is nursing her baby, tenderly gazing at him. The painting is dominated by light, the effect of which is amplified by the white dress of the mother and by the little sheet in which the baby is wrapped, and the entire scene is rendered with a style that achieves an interesting degree of realism through rapid brushstrokes."
Flowers and Roses,Gaetano Previati (1852-1920),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Gaetano-Previati-Rose-1024x688.jpg,ambrosiana_images/Flowers_and_Roses.jpg,,1912,Painting,,34 × 50 cm,Petit genre,,19,"In this painting, flowers cover the entire surface and are characterised by their very intense colours. The work was made in 1912, when Previati took up divisionist painting, of which he was also a theorist."
